strategy,test_number,message,gold_category,gold_urgency,gold_sentiment,model_output,valid_json,category_correct,urgency_correct,sentiment_correct,prompt_tokens,completion_tokens,latency_ms,error
zero-shot,1,My order was supposed to arrive yesterday but the tracking still says it is in transit.,DELIVERY_DELAY,MEDIUM,NEGATIVE,"{
    ""category"": ""DELIVERY_DELAY"",
    ""urgency"": ""HIGH"",
    ""sentiment"": ""NEGATIVE""
}",1,1,0,1,332,91,3640.06,
zero-shot,2,I was charged twice for the same order. Please refund the extra payment.,PAYMENT_REFUND,HIGH,NEGATIVE,"{
    ""category"": ""PAYMENT_REFUND"",
    ""urgency"": ""MEDIUM"",
    ""sentiment"": ""NEGATIVE""
}",1,1,0,1,304,185,2768.84,
zero-shot,3,The headphones I received only work on one side.,PRODUCT_DEFECT,MEDIUM,NEGATIVE,"We need to classify the message: ""The headphones I received only work on one side.""

Category: PRODUCT_DEFECT (defective product). Urgency? Probably MEDIUM? It's a defect but not urgent maybe MEDIUM. Sentiment? Likely NEGATIVE (complaint). So output JSON with fields category, urgency, sentiment.

Category must be exactly one of allowed categories: DELIVERY_DELAY, PAYMENT_REFUND, PRODUCT_DEFECT, ACCOUNT_ACCESS, FEEDBACK_OTHER. So PRODUCT_DEFECT.

Urgency: HIGH, MEDIUM, LOW. The defect is notable but not urgent maybe MEDIUM. Could be HIGH if immediate? The message is",0,0,0,0,300,150,1989.39,
zero-shot,4,I forgot my password and the reset link is not reaching my email.,ACCOUNT_ACCESS,HIGH,NEGATIVE,"{
    ""category"": ""ACCOUNT_ACCESS"",
    ""urgency"": ""MEDIUM"",
    ""sentiment"": ""NEGATIVE""
}",1,1,0,1,303,136,1547.45,
zero-shot,5,"Great service, my package arrived earlier than expected!",FEEDBACK_OTHER,LOW,POSITIVE,"{
    ""category"": ""FEEDBACK_OTHER"",
    ""urgency"": ""LOW"",
    ""sentiment"": ""POSIT",0,0,0,0,299,150,23272.37,
zero-shot,6,Where???,DELIVERY_DELAY,MEDIUM,NEUTRAL,"Here's a thinking process:

1.  **Analyze User Input:**
   - Role: Support-triage engine for e-commerce
   - Task: Classify customer message into exactly one category
   - Allowed categories: DELIVERY_DELAY, PAYMENT_REFUND, PRODUCT_DEFECT, ACCOUNT_ACCESS, FEEDBACK_OTHER
   - Also assign urgency (HIGH/MEDIUM/LOW) and sentiment (POSITIVE/NEUTRAL/NEGATIVE)
   - Output must be valid JSON with exactly those three fields
   - No explanations, no markdown, no echoing order IDs
   - Customer message: ""Where???""

2.  **Analyze the Customer Message:**",0,0,0,0,292,150,5861.12,
zero-shot,7,Order 784521 is still not shipped and I need it before tomorrow's wedding.,DELIVERY_DELAY,HIGH,NEGATIVE,,0,0,0,0,711,150,12933.13,
zero-shot,8,Refund says completed nine days ago but the money is still missing from my bank account.,PAYMENT_REFUND,HIGH,NEGATIVE,User Safety: safe,0,0,0,0,706,145,2071.98,
zero-shot,9,"Superb job guys, because obviously waiting three weeks for a phone is exactly what I wanted.",DELIVERY_DELAY,HIGH,NEGATIVE,,0,0,0,0,334,150,11950.52,
zero-shot,10,Bhai payment ho gaya but order confirm nahi hua.,PAYMENT_REFUND,HIGH,NEGATIVE,,0,0,0,0,331,150,1841.54,
zero-shot,11,"The product looks nice, but the screen has a crack straight out of the box.",PRODUCT_DEFECT,HIGH,NEGATIVE,"Here's a thinking process:

1.  **Analyze User Input:**
   - Role: support-triage engine for e-commerce
   - Task: Classify customer message into exactly one category, assign urgency and sentiment
   - Output format: valid JSON with exactly `category`, `urgency`, `sentiment` fields
   - Constraints: No explanations, no markdown, no echoing order IDs
   - Customer message: ""The product looks nice, but the screen has a crack straight out of the box.""

2.  **Analyze Customer Message:**
   - ""The product looks nice"" - positive comment about appearance
   - ""but the screen has a crack straight out of the box"" - product is damaged/",0,0,0,0,306,150,928.84,
zero-shot,12,Can you tell me whether this product is available in blue?,FEEDBACK_OTHER,LOW,NEUTRAL,,0,0,0,0,329,150,2040.69,
zero-shot,13,I cannot log into my account after changing my phone number.,ACCOUNT_ACCESS,MEDIUM,NEGATIVE,,0,0,0,0,701,150,12453.62,
zero-shot,14,The refund was processed and I can now see the money in my account. Thanks!,PAYMENT_REFUND,LOW,POSITIVE,"Here's a thinking process:

1.  **Analyze the Customer Message**: ""The refund was processed and I can now see the money in my account. Thanks!""
2.  **Identify the Core Issue**: 
   - Mentions a refund was processed
   - Money is now visible in the account
   - Ends with ""Thanks!"" (positive tone)
3.  **Map to Categories**:
   - DELIVERY_DELAY: No mention of delivery, shipping, late/missing items.
   - PAYMENT_REFUND: Directly mentions refund and money in account. This fits perfectly.
   - PRODUCT_DEFECT: No mention of damaged/faulty products.
   - ACCOUNT_ACCESS: No mention",0,0,0,0,306,150,1051.47,
zero-shot,15,My delivery is late and the box arrived damaged. The actual product seems okay.,DELIVERY_DELAY,MEDIUM,NEGATIVE,"We need to classify into exactly one category among the five. The message: ""My delivery is late and the box arrived damaged. The actual product seems okay.""

We have two issues: delivery is late (DELIVERY_DELAY) and box arrived damaged (PRODUCT_DEFECT? Actually damaged packaging maybe considered PRODUCT_DEFECT? The category definitions: PRODUCT_DEFECT: Problems involving damaged, broken, faulty, or defective products. The box is damaged, but the product seems okay. The damage is to the box, not the product. Could be considered delivery issue? Delivery delay and damaged box could be considered delivery problem? The categories: DELIVERY_DELAY covers late, delayed, missing, or not-yet-shipped",0,0,0,0,305,150,2767.3,
one-shot,1,My order was supposed to arrive yesterday but the tracking still says it is in transit.,DELIVERY_DELAY,MEDIUM,NEGATIVE,"{""category"":""DELIVERY_DELAY"",""urgency"":""HIGH"",""sentiment"":""NEGATIVE""}",1,1,0,1,333,25,11480.2,
